agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
100,6,2.595412261784,829.7333333333,2016,0,2.0
5,7,2.242500841618,184.4666666667,2016,0,2.0
100,7,2.255889493972,830.5666666667,2016,0,2.0
5,8,1.828591793776,186.3,2016,0,2.0
100,8,2.923157066107,832.4333333333,2016,0,2.0
5,9,2.500901550055,184.8666666667,2016,0,2.0
100,9,3.936059265397,831.5,2016,0,2.0
5,10,2.042418830097,184.6666666667,2016,0,2.0
100,10,3.366155227646,827.7,2016,0,2.0
5,11,2.046112008393,184.3333333333,2016,0,2.0
100,11,3.010945320129,828.3666666667,2016,0,2.0
5,12,6.413842767477,185.9,2016,0,2.0
100,12,2.748007128015,827.9333333333,2016,0,2.0
5,1,3.371824324131,187.6333333333,2017,0,2.0
100,1,2.993968594819,829,2017,0,2.0
5,2,2.957548126578,189.2333333333,2017,0,2.0
100,2,2.600008115172,828.2666666667,2017,0,2.0
5,3,3.82465928793,190.8666666667,2017,0,2.0
100,3,2.293563243002,827.5333333333,2017,0,2.0
5,4,3.215581253171,192.9666666667,2017,0,2.0
100,4,2.629915865138,828.1,2017,0,2.0
5,5,1.625,194.6666666667,2017,0,2.0
100,5,2.371373299509,826.0333333333,2017,0,2.0
5,6,1.880151182413,194.1333333333,2017,0,2.0
100,6,1.928490725346,826.4666666667,2017,0,2.0
5,7,1.762980937958,193.2333333333,2017,0,2.0
100,7,2.354648858309,826.7333333333,2017,0,2.0
5,8,0.8080722056329,195.7333333333,2017,0,2.0
100,8,3.245886992663,824.6333333333,2017,0,2.0
5,9,1.352079503238,197.9666666667,2017,0,2.0
100,9,3.085089084692,824.2333333333,2017,0,2.0
5,10,1.303349778056,196.0333333333,2017,0,2.0
100,10,3.07082477212,824.1,2017,0,2.0
5,11,1.945495188236,193.8666666667,2017,0,2.0
100,11,2.999190494418,823.5,2017,0,2.0
5,12,7.500431336462,193.0333333333,2017,0,2.0
100,12,2.897529445589,823,2017,0,2.0
5,1,2.83140823245,193.3666666667,2018,0,2.0
100,1,2.538226911798,819.6666666667,2018,0,2.0
5,2,3.880271956325,191.2666666667,2018,0,2.0
100,2,2.855492467061,822.3333333333,2018,0,2.0
5,3,3.584706962109,190.0666666667,2018,0,2.0
100,3,2.158101478592,823.1,2018,0,2.0
5,4,2.421861231327,190.9,2018,0,2.0
100,4,1.794377007522,820.4333333333,2018,0,2.0
5,5,2.857018634677,191.6333333333,2018,0,2.0
100,5,1.826410694048,819.3666666667,2018,0,2.0
5,6,2.70132163167,189.1666666667,2018,0,2.0
100,6,1.72422222048,818.5333333333,2018,0,2.0
5,7,1.493240900338,187.4,2018,0,2.0
100,7,1.602243673056,820.1,2018,0,2.0
5,8,0.3280603885651,185.4333333333,2018,0,2.0
100,8,2.263313638978,822.4666666667,2018,0,2.0
5,9,1.151205986738,179.6666666667,2018,0,2.0
100,9,3.624113458209,822.5,2018,0,2.0
5,10,1.714258827269,177.4333333333,2018,0,2.0
100,10,3.261708468199,820.6333333333,2018,0,2.0
5,11,1.895556807518,173.3,2018,0,2.0
100,11,2.825214711018,822.5333333333,2018,0,2.0
5,12,7.72524305433,171.6666666667,2018,0,2.0
100,12,2.424659680575,822.9333333333,2018,0,2.0
5,1,4.725128717721,187.9666666667,2015,0,1.0
100,1,3.391183700413,828.7666666667,2015,0,1.0
5,2,5.187752187252,189.9666666667,2015,0,1.0
100,2,3.769691300578,829.4666666667,2015,0,1.0
5,3,5.028258472681,188.7333333333,2015,0,1.0
100,3,3.609358040616,829.2333333333,2015,0,1.0
5,4,4.597804769874,185.2333333333,2015,0,1.0
100,4,3.546392479911,830.2333333333,2015,0,1.0
5,5,4.761161163449,181.4333333333,2015,0,1.0
100,5,3.488144251518,833.6333333333,2015,0,1.0
5,6,5.145551003516,182.0666666667,2015,0,1.0
100,6,3.234881335869,831.2,2015,0,1.0
5,7,5.0119003281,182.0666666667,2015,0,1.0
100,7,3.195710645989,829.9666666667,2015,0,1.0
5,8,4.60909947753,179.5,2015,0,1.0
100,8,3.480089651421,832.0666666667,2015,0,1.0
5,9,5.074142664671,179.8333333333,2015,0,1.0
100,9,3.343377113342,829.7,2015,0,1.0
5,10,4.692565754056,178.9,2015,0,1.0
100,10,3.441185862757,830.8666666667,2015,0,1.0
5,11,5.479855775833,175.4,2015,0,1.0
100,11,3.013747982681,831.6333333333,2015,0,1.0
